title,link,problem
"COBRANÇA ABUSIVA Aplicativos não solicitados - GoRead, Hube Jornais, Babbel e Skeelo Avançado",/vivo-celular-fixo-internet-tv/cobranca-abusiva-aplicativos-nao-solicitados-goread-hube-jornais-babbel_qI-n8MFEffCzf_Ub/,Cobrança indevida
Paguei duas vezes a mesma conta e eles não me ressarciram,/vivo-celular-fixo-internet-tv/paguei-duas-vezes-a-mesma-conta-e-eles-nao-me-ressarciram_84nVCPrKIxxnD5Do/,Cobrança indevida
"Vivo - o atendimento *8486 não tem validade, uma vez que não se cumpre o acordado.",/vivo-celular-fixo-internet-tv/vivo-o-atendimento-8486-nao-tem-validade-uma-vez-que-nao-se-cumpre-o-ac_SWafSJysRrvTM_M0/,Cobrança indevida
"Vivo mantém divida meses após o pagamento, sujando meu nome e impedindo a obtenção de crédito.",/vivo-celular-fixo-internet-tv/vivo-mantem-divida-meses-apos-o-pagamento-sujando-meu-nome-e-impedindo-a-o_hBpjTa2ZiUVZ1Nyh/,Cobrança indevida
Cobrança Indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_zRiFZ5wNtP9WfUue/,Cobrança indevida
Fatura celular,/vivo-celular-fixo-internet-tv/fatura-celular_xDaJkCKvVbtIZONI/,Cobrança indevida
fraud,/vivo-celular-fixo-internet-tv/fraud_KD921VbFESKN_LlD/,Cobrança indevida
Cobrança de Fatura Indevida,/vivo-celular-fixo-internet-tv/cobranca-de-fatura-indevida_WKZGak6_ym2CV2vz/,Cobrança indevida
Cobrança de fatura indevida,/vivo-celular-fixo-internet-tv/cobranca-de-fatura-indevida_L15YOPV9tEl8fuvw/,Cobrança indevida
Cobrança,/vivo-celular-fixo-internet-tv/cobranca_t4qAaYowBPGgJ77i/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_G6Wvwa30hSaRIXiV/,Cobrança indevida
COBRANÇA INDEVIDA EM DEBITO AUTOMATICO,/vivo-celular-fixo-internet-tv/cobranca-indevida-em-debito-automatico_HnnDKmIqiPBTavx1/,Cobrança indevida
COBRANÇAS [Editado pelo Reclame Aqui],/vivo-celular-fixo-internet-tv/cobrancas_jMerKirUmzmybVOE/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_JBE4ABB7MiyXFMMb/,Cobrança indevida
RECLAMAÇÃO,/vivo-celular-fixo-internet-tv/reclamacao_AajAO59KQdYTSm2S/,Cobrança indevida
Multa por renovação de contrato não autorizada,/vivo-celular-fixo-internet-tv/multa-por-renovacao-de-contrato-nao-autorizada_ZKDM-QnocicS-IjZ/,Cobrança indevida
Criação de conta de pessoas não clientes,/vivo-celular-fixo-internet-tv/criacao-de-conta-de-pessoas-nao-clientes_cDdIi3SoWPUTdi-o/,Cobrança indevida
Cobrança Indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_2hOmk2HLFVfNqv63/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_2wh4a4V8WOoacxqe/,Cobrança indevida
Cobrança Indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_ppcuDeJHdngM8weY/,Cobrança indevida
Solicito a exclusão dos apontamentos em meu  cpf  de dividas prescritas,/vivo-celular-fixo-internet-tv/solicito-a-exclusao-dos-apontamentos-em-meu-cpf-de-dividas-prescritas_ZDKIfKhQYQlYGKgE/,Cobrança indevida
vivo easy é um mentira operadora péssima,/vivo-celular-fixo-internet-tv/vivo-easy-e-um-mentira-operadora-pessima_B4UPBghBHJhgSL_z/,Cobrança indevida
AUMENTO DE FATURA SEM CONSENTIMENTO,/vivo-celular-fixo-internet-tv/aumento-de-fatura-sem-consentimento_HMrei4hpjuMaObu9/,Cobrança indevida
Cobrança pacotes adicionais não contratados,/vivo-celular-fixo-internet-tv/cobranca-pacotes-adicionais-nao-contratados_YjcbZpGJ3oO-dH-m/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_bqGCwKhGlgqjPUi5/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_21gdMURh_UXbI6lQ/,Cobrança indevida
"Cobrança de ligações para serviços de terceiros (Ex: 0300, 0500 e Outros)",/vivo-celular-fixo-internet-tv/cobranca-de-ligacoes-para-servicos-de-terceiros-ex-0300-0500-e-outros_MTgSOlttzIpITgua/,Cobrança indevida
Cobrança indevida todo mês,/vivo-celular-fixo-internet-tv/cobranca-indevida-todo-mes_J0n20WqOhCeGvAMd/,Cobrança indevida
Cobrança [Editado pelo Reclame Aqui],/vivo-celular-fixo-internet-tv/cobranca_8fnqbrN-Zao9TK4-/,Cobrança indevida
cobranças [Editado pelo Reclame Aqui],/vivo-celular-fixo-internet-tv/cobrancas_UOQHVCFwdwXbEgrl/,Cobrança indevida
Serviços não cancelados,/vivo-celular-fixo-internet-tv/servicos-nao-cancelados_mC7FtgaPD0GSys5a/,Cobrança indevida
COBRANÇA INDEVIDA,/vivo-celular-fixo-internet-tv/cobranca-indevida_cfmpHVXKJPGaGOqG/,Cobrança indevida
MULTA INDEVIDA,/vivo-celular-fixo-internet-tv/multa-indevida__6iqjZcYPXYHmKFf/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_VYjmNBP4dLVQM_A7/,Cobrança indevida
Estão me cobrando contas se eu nem tenho plano da VIVO,/vivo-celular-fixo-internet-tv/estao-me-cobrando-contas-se-eu-nem-tenho-plano-da-vivo_5GQv29WBrDp4dKkZ/,Cobrança indevida
Vivo fez cobrança indevida de serviços digitais alegando que os contratei,/vivo-celular-fixo-internet-tv/vivo-fez-cobranca-indevida-de-servicos-digitais-alegando-que-os-contratei_sLWhr5-9nl1fCY6g/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_RwIMz6qZetWlDb3S/,Cobrança indevida
Cobrança indevida e intermináveis ligações diárias,/vivo-celular-fixo-internet-tv/cobranca-indevida-e-interminaveis-ligacoes-diarias_zmrrQngtCAwBF8Xo/,Cobrança indevida
Cobranças [Editado pelo Reclame Aqui] em meu número,/vivo-celular-fixo-internet-tv/cobrancas-em-meu-numero_HnqitNReIc812n89/,Cobrança indevida
Cobrança de pacote indevidamente,/vivo-celular-fixo-internet-tv/cobranca-de-pacote-indevidamente_n2Zc5m5vg3ZY5o4R/,Cobrança indevida
Portabilidade não foi concluída e gerou duas contas,/vivo-celular-fixo-internet-tv/portabilidade-nao-foi-concluida-e-gerou-duas-contas_oZ5vIx6x_2xVxf8p/,Cobrança indevida
Pessimo Atendinento,/vivo-celular-fixo-internet-tv/pessimo-atendinento_ZBDU0y3fUfPww9ud/,Cobrança indevida
Cobrança indevida de multa!,/vivo-celular-fixo-internet-tv/cobranca-indevida-de-multa_6_Kc1nGRrxAuGt3u/,Cobrança indevida
Vivo turbo,/vivo-celular-fixo-internet-tv/vivo-turbo_Ek4VsHN3yCSh-8xQ/,Cobrança indevida
Mudança no valor da fatura sem aviso,/vivo-celular-fixo-internet-tv/mudanca-no-valor-da-fatura-sem-aviso_W1kU7u7z45bpB1Lq/,Cobrança indevida
Falso cancelamento e cobrança injusta,/vivo-celular-fixo-internet-tv/falso-cancelamento-e-cobranca-injusta_wI8E0CN8Gchm09yv/,Cobrança indevida
